,smiles,cmpd_id,fragmentA,fragmentB,sucos,int_count
0,Cc1cc2c(cc1NC(=O)NCCc1nnc3ccccn13)OCO2,ENAMINE:Z1637917899,x1140_0A,x1594_0A,0.7944393843132861,7
1,Cc1ccc(CCS(=O)(=O)NCc2nnc3ccccn23)cc1,ENAMINE:Z2000385219,x1140_0A,x1594_0A,0.7867791986359577,5
2,OC[C@H](c1ccc2c(c1)OCO2)N(CCc1nnc2ccccn12)C[C@@H](O)c1ccc2c(c1)OCO2,MOLPORT:009-117-950,x1140_0A,x1594_0A,0.7726939453515331,4
3,O=C(CSc1nnc2ccccn12)Nc1ccc2c(c1)OCO2,MOLPORT:000-224-370,x1140_0A,x1594_0A,0.763337209299409,5
4,CCc1nnc2ccc(S(=O)(=O)N(CC)c3ccc4c(c3)OCO4)cn12,MOLPORT:010-916-291,x1594_0A,x1140_0A,0.7415366649040672,5
5,O=C(NCc1nnc2ccccn12)c1ccc2c(c1)OCO2,MOLPORT:004-137-806,x1140_0A,x1594_0A,0.7168107113002569,7
6,O=S(=O)(CCC1CC1)NCc1nnc2ccccn12,ENAMINE:Z1530202140,x1140_0A,x1594_0A,0.7157112198481353,4
7,OC[C@@H](c1ccc2c(c1)OCO2)N(CCc1nnc2ccccn12)C[C@H](O)c1ccc2c(c1)OCO2,MOLPORT:009-117-950,x1594_0A,x1140_0A,0.7128159625418369,3
8,C[C@@H](c1ccc(F)cc1)S(=O)(=O)NCc1nnc2ccccn12,ENAMINE:PV-003073396135,x1140_0A,x1594_0A,0.7123523861122991,4
9,O=S(=O)(CCc1cccc(F)c1)NCc1nnc2ccccn12,ENAMINE:PV-002197219152,x1140_0A,x1594_0A,0.7116338227238174,3
10,Cc1nnc2c(NCc3ccc4c(c3)OCO4)nccn12,ENAMINE:Z1230717304,x0147_0A,x1140_0A,0.7031072748784511,5
11,O=C(CSc1nnc2ccccn12)Nc1ccc2c(c1)OCO2,MOLPORT:000-224-370,x1594_0A,x1140_0A,0.7009803047092562,5
12,O=C(NCc1ccc2c(c1)OCO2)c1ccc2nncn2c1,ENAMINE:Z978911310,x1594_0A,x1140_0A,0.6983708538074413,5
