smiles,hit1,hit2,shape_tanimoto1,shape_tanimoto2,compound_set,template,inchikey
Cc1cc2c(cc1NC(=O)NCCc1nnc3ccccn13)OCO2,x1140_0A,x1594_0A,0.6618565283751908,0.7010009686793671,x1140_0A-x1594_0A_69-P,x1594_0A,PCWLLOFUHNYYRG-UHFFFAOYSA-N
Cc1ccc(CCS(=O)(=O)NCc2nnc3ccccn23)cc1,x1140_0A,x1594_0A,0.8111544756389274,0.7301122498779893,x1140_0A-x1594_0A_117-P,x1140_0A,MAYFCUDIGYMGSZ-UHFFFAOYSA-N
OCC(c1ccc2c(c1)OCO2)N(CCc1nnc2ccccn12)CC(O)c1ccc2c(c1)OCO2,x1140_0A,x1594_0A,0.6542086804033319,0.7969686687026355,x1140_0A-x1594_0A_94-P,x1594_0A,WXKPJYMZBOBKQH-WOJBJXKFSA-N
O=C(CSc1nnc2ccccn12)Nc1ccc2c(c1)OCO2,x1140_0A,x1594_0A,0.5755395683453237,0.6702917313999655,x1140_0A-x1594_0A_49-P,x1594_0A,IQUYEHFSOUMANR-UHFFFAOYSA-N
CCc1nnc2ccc(S(=O)(=O)N(CC)c3ccc4c(c3)OCO4)cn12,x1594_0A,x1140_0A,0.7915472779369628,0.6313923360152734,x1594_0A-x1140_0A_133-P,x1594_0A,JXFIGYIDNXFQEE-UHFFFAOYSA-N
O=C(NCc1nnc2ccccn12)c1ccc2c(c1)OCO2,x1140_0A,x1594_0A,0.6361979957485575,0.7062863180137348,x1140_0A-x1594_0A_37-P,x1594_0A,PFASIYQITCNOEG-UHFFFAOYSA-N
O=S(=O)(CCC1CC1)NCc1nnc2ccccn12,x1140_0A,x1594_0A,0.7915014164305949,0.6927574500188608,x1140_0A-x1594_0A_118-P,x1140_0A,MNZYWEFODCSYTA-UHFFFAOYSA-N
OCC(c1ccc2c(c1)OCO2)N(CCc1nnc2ccccn12)CC(O)c1ccc2c(c1)OCO2,x1594_0A,x1140_0A,0.8143161673959385,0.8469494259417402,x1594_0A-x1140_0A_87-P,x1140_0A,WXKPJYMZBOBKQH-PMACEKPBSA-N
CC(c1ccc(F)cc1)S(=O)(=O)NCc1nnc2ccccn12,x1140_0A,x1594_0A,0.8149596367305751,0.7360323886639676,x1140_0A-x1594_0A_116-P,x1140_0A,AVLIUASBFHKKCR-NSHDSACASA-N
O=S(=O)(CCc1cccc(F)c1)NCc1nnc2ccccn12,x1140_0A,x1594_0A,0.6686162624821683,0.7278564372736253,x1140_0A-x1594_0A_115-P,x1594_0A,FDFDEJOEBRIBQQ-UHFFFAOYSA-N
Cc1nnc2c(NCc3ccc4c(c3)OCO4)nccn12,x0147_0A,x1140_0A,0.7725806451612903,0.609514687100894,x0147_0A-x1140_0A_27-P,x0147_0A,ZKYNZXJFCAFUFD-UHFFFAOYSA-N
O=C(CSc1nnc2ccccn12)Nc1ccc2c(c1)OCO2,x1594_0A,x1140_0A,0.6616880861410211,0.5738080684596577,x1594_0A-x1140_0A_118-P,x1594_0A,IQUYEHFSOUMANR-UHFFFAOYSA-N
O=C(NCc1ccc2c(c1)OCO2)c1ccc2nncn2c1,x1594_0A,x1140_0A,0.7543323139653415,0.6239276960784313,x1594_0A-x1140_0A_42-P,x1594_0A,XHSIMOHWNYENKT-UHFFFAOYSA-N
O=C(C=Cc1ccc2c(c1)OCO2)NCCc1nnc2ccccn12,x1594_0A,x1140_0A,0.6810064935064936,0.7013368983957219,x1594_0A-x1140_0A_163-P,x1140_0A,VVZCRITXOKTYHR-UHFFFAOYSA-N
CSCCC(NC(=O)c1ccc2c(c1)OCO2)c1nnc2ccccn12,x1140_0A,x1594_0A,0.6811443433029909,0.7383523147463393,x1140_0A-x1594_0A_97-P,x1594_0A,OVWQWMUJCMOBFF-ZDUSSCGKSA-N
CC(C)C(NC(=O)c1ccc2c(c1)OCO2)c1nnc2ccccn12,x1594_0A,x1140_0A,0.7261046693826386,0.6859448554135844,x1594_0A-x1140_0A_161-P,x1594_0A,TXFMLAHGDGYIBB-INIZCTEOSA-N
Cc1ccn2cnnc2c1NC(=O)c1ccc2c(c1)OCO2,x1594_0A,x1140_0A,0.785983915969145,0.6082458307597283,x1594_0A-x1140_0A_160-P,x1594_0A,QNZDCGMJOMPWAM-UHFFFAOYSA-N
O=C(Nc1ccc2c(c1)OCO2)c1ccc2nnc(S)n2c1,x1594_0A,x1140_0A,0.7675568743818002,0.6511524822695035,x1594_0A-x1140_0A_157-P,x1594_0A,RHAPECQDRQEFFA-UHFFFAOYSA-N
O=C(CCc1ccc2c(c1)OCO2)N1CCCC1c1nnc2ccccn12,x1140_0A,x1594_0A,0.6922183507549361,0.6814323198024387,x1140_0A-x1594_0A_90-P,x1140_0A,BFJZIIAAZLLLAB-OAHLLOKOSA-N
CC(Sc1nnc2ccc(C(F)(F)F)cn12)C(=O)Nc1ccc2c(c1)OCO2,x1594_0A,x1140_0A,0.7082352941176471,0.6479093395857757,x1594_0A-x1140_0A_153-P,x1594_0A,LFVJYKAMLJVUBN-SECBINFHSA-N
O=C(NCc1ccc2c(c1)OCO2)NCc1nnc2cc(C(F)(F)F)ccn12,x1594_0A,x1140_0A,0.6885321100917431,0.7067612053684477,x1594_0A-x1140_0A_144-P,x1140_0A,MRIUEFFOUHUMSR-UHFFFAOYSA-N
O=C(NCCc1nnc2ccccn12)c1c(F)ccc2c1OCO2,x1140_0A,x1594_0A,0.6514343376099179,0.713167970700849,x1140_0A-x1594_0A_88-P,x1594_0A,GUNOKUYHFYRPDB-UHFFFAOYSA-N
O=C(NCc1ccc2c(c1)OCO2)C1CCCN(c2nnc3ccccn23)C1,x1594_0A,x1140_0A,0.7827926657263752,0.5913007796471071,x1594_0A-x1140_0A_143-P,x1594_0A,YXQIWQPIQASTDU-HNNXBMFYSA-N
CN(Cc1nnc2ccccn12)C(=O)c1cc(Cl)c2c(c1)OCO2,x1140_0A,x1594_0A,0.596665691722726,0.741778127458694,x1140_0A-x1594_0A_72-P,x1594_0A,LZADQUQPZPXOSW-UHFFFAOYSA-N
Cc1cc2c(cc1NC(=O)NC(C)c1nnc3ccccn13)OCO2,x1140_0A,x1594_0A,0.6739516459500068,0.7218448902227136,x1140_0A-x1594_0A_70-P,x1594_0A,IXNMLAYGENWDOF-NSHDSACASA-N
COc1cc(CNCc2nnc3ccccn23)cc2c1OCO2,x1140_0A,x1594_0A,0.6931068370068791,0.7354252683732453,x1140_0A-x1594_0A_67-P,x1594_0A,DSFSGRNVWZJSNV-UHFFFAOYSA-N
Cc1cc2c(cc1NC(=O)N(C)Cc1nnc3ccccn13)OCO2,x1140_0A,x1594_0A,0.6243611584327087,0.7391644500078235,x1140_0A-x1594_0A_59-P,x1594_0A,OGYYWZAXNQAKMO-UHFFFAOYSA-N
CSCCC(NC(=O)Nc1cc2c(cc1C)OCO2)c1nnc2ccccn12,x1140_0A,x1594_0A,0.6529196620002522,0.7571409047423807,x1140_0A-x1594_0A_58-P,x1594_0A,QASSOYKYMDASPE-ZDUSSCGKSA-N
CCCC(NC(=O)c1ccc2c(c1)OCO2)c1nnc2ccccn12,x1594_0A,x1140_0A,0.7377428307123034,0.6668478260869565,x1594_0A-x1140_0A_130-P,x1594_0A,DKZCXMHVEBUFNB-ZDUSSCGKSA-N
OC(CNCCc1nnc2ccccn12)c1ccc2c(c1)OCO2,x1594_0A,x1140_0A,0.6551547273038126,0.6258542969318016,x1594_0A-x1140_0A_125-P,x1594_0A,CTDHDELIGTUAKF-ZDUSSCGKSA-N
Cc1cc2c(cc1NC(=O)CSc1nnc3ccccn13)OCO2,x1140_0A,x1594_0A,0.6265232974910394,0.7140551879941908,x1140_0A-x1594_0A_56-P,x1594_0A,IVKQBYRSJSMJFW-UHFFFAOYSA-N
O=C(NCCc1nnc2ccccn12)NCc1ccc2c(c1)OCO2,x1140_0A,x1594_0A,0.564875296912114,0.6700264375413086,x1140_0A-x1594_0A_55-P,x1594_0A,WFXQPQVIUKVOAU-UHFFFAOYSA-N
CC(C)C(O)c1nnc2ccc(C(=O)NCc3ccc4c(c3)OCO4)cn12,x1594_0A,x1140_0A,0.7820984162895928,0.6873557322390357,x1594_0A-x1140_0A_119-P,x1594_0A,AYELZXVTIQDGDJ-KRWDZBQOSA-N
NC(=O)c1ccc(N2CCCC2c2ccc3c(c2)OCO3)nc1,x1498_0A,x1140_0A,0.8570270708380613,0.6409917840375586,x1498_0A-x1140_0A_309-P,x1498_0A,XTNIOLQBQXGQEU-CYBMUJFWSA-N
CCc1nnc2ccc(-c3noc(-c4ccc5c(c4)OCO5)n3)cn12,x1594_0A,x1140_0A,0.7582573136206354,0.675803534158898,x1594_0A-x1140_0A_115-P,x1594_0A,BXIKRALWBKXIQF-UHFFFAOYSA-N
Cc1nnc2c(N(C)CCc3ccc4c(c3)OCO4)nccn12,x0147_0A,x1140_0A,0.7662337662337663,0.6088071180817373,x0147_0A-x1140_0A_26-P,x0147_0A,IYMIBJHPROVARP-UHFFFAOYSA-N
CCc1nnc2ccc(S(=O)(=O)Nc3ccc4c(c3)OCO4)cn12,x1594_0A,x1140_0A,0.7769739879944589,0.644919332012454,x1594_0A-x1140_0A_112-P,x1594_0A,LQIMEURQJCHSLL-UHFFFAOYSA-N
O=C(Nc1nnc2ccc(Br)cn12)c1ccc2c(c1)OCO2,x1594_0A,x1140_0A,0.757185332011893,0.6423196104471005,x1594_0A-x1140_0A_107-P,x1594_0A,DLFQFXSDIQWEHS-UHFFFAOYSA-N
CC(=O)c1cc2c(cc1NC(=O)CSc1nnc3ccccn13)OCO2,x1140_0A,x1594_0A,0.6414244781006959,0.7392489400363416,x1140_0A-x1594_0A_50-P,x1594_0A,YFQDGGRSIXZVKQ-UHFFFAOYSA-N
O=C(NCCc1nnc2ccccn12)NCc1ccc2c(c1)OCO2,x1594_0A,x1140_0A,0.6632313829787234,0.6874830301384741,x1594_0A-x1140_0A_104-P,x1140_0A,WFXQPQVIUKVOAU-UHFFFAOYSA-N
O=C(C=Cc1ccc2c(c1)OCO2)NCc1nnc2c(O)nccn12,x0147_0A,x1140_0A,0.70042194092827,0.6778560574665009,x0147_0A-x1140_0A_24-P,x0147_0A,IQZWTJCFESERKL-UHFFFAOYSA-N
CN(Cc1ccc2c(c1)OCO2)c1nnc2ccc(Br)cn12,x1594_0A,x1140_0A,0.7598175004073652,0.6761087267525036,x1594_0A-x1140_0A_99-P,x1594_0A,UGWDTNUKLBRVQG-UHFFFAOYSA-N
Cc1nnc2ccc(-c3noc(-c4ccc5c(c4)OCO5)n3)cn12,x1594_0A,x1140_0A,0.7498382923673997,0.6615936826992104,x1594_0A-x1140_0A_91-P,x1594_0A,SJLNXEFMEKPDCS-UHFFFAOYSA-N
O=C(CSc1nnc2ccccn12)NCCN1C(=O)SC(=Cc2ccc3c(c2)OCO3)C1=O,x1140_0A,x1594_0A,0.7642492556358996,0.7349290780141844,x1140_0A-x1594_0A_44-P,x1140_0A,GYVDHSPZQQGJIV-UHFFFAOYSA-N
OC(CNCc1nnc2ccccn12)c1ccc2c(c1)OCO2,x1140_0A,x1594_0A,0.6180949537175277,0.7243450692474553,x1140_0A-x1594_0A_34-P,x1594_0A,FPFIYEARDZYHTL-LBPRGKRZSA-N
O=C(NCc1ccc2c(c1)OCO2)NCc1nnc2ccc(C(F)(F)F)cn12,x1594_0A,x1140_0A,0.6862413528055342,0.7037225905150434,x1594_0A-x1140_0A_85-P,x1140_0A,PYIRUBPOCQXMAV-UHFFFAOYSA-N
